电影名称,评分,上映时间,导演,链接信息
致命魔术,8.8,2006,克里斯托弗·诺兰,https://movie.douban.com/subject/1780330/
七宗罪,8.8,1995,大卫·芬奇,https://movie.douban.com/subject/1292223/
被嫌弃的松子的一生,8.9,2006,中岛哲也,https://movie.douban.com/subject/1787291/
低俗小说,8.8,1994,昆汀·塔伦蒂诺,https://movie.douban.com/subject/1291832/
沉默的羔羊,8.8,1991,乔纳森·戴米,https://movie.douban.com/subject/1293544/
蝴蝶效应,8.8,2004,埃里克·布雷斯,https://movie.douban.com/subject/1292343/
春光乍泄,8.9,1997,王家卫,https://movie.douban.com/subject/1292679/
穿条纹睡衣的男孩,9.0,2008,马克·赫尔曼,https://movie.douban.com/subject/3008247/
勇敢的心,8.9,1995,梅尔·吉布森,https://movie.douban.com/subject/1294639/
天使爱美丽,8.7,2001,让-皮埃尔·热内,https://movie.douban.com/subject/1292215/
剪刀手爱德华,8.7,1990,蒂姆·波顿,https://movie.douban.com/subject/1292370/
心灵捕手,8.8,1997,格斯·范·桑特,https://movie.douban.com/subject/1292656/
禁闭岛,8.8,2010,马丁·斯科塞斯,https://movie.douban.com/subject/2334904/
布达佩斯大饭店,8.8,2014,韦斯·安德森,https://movie.douban.com/subject/11525673/
阿凡达,8.7,2009,詹姆斯·卡梅隆,https://movie.douban.com/subject/1652587/
入殓师,8.8,2008,泷田洋二郎,https://movie.douban.com/subject/2149806/
幽灵公主,8.9,1997,宫崎骏,https://movie.douban.com/subject/1297359/
加勒比海盗,8.7,2003,戈尔·维宾斯基,https://movie.douban.com/subject/1298070/
摩登时代,9.3,1936,查理·卓别林,https://movie.douban.com/subject/1294371/
致命ID,8.7,2003,詹姆斯·曼高德,https://movie.douban.com/subject/1297192/
断背山,8.7,2005,李安,https://movie.douban.com/subject/1418834/
阳光灿烂的日子,8.8,1994,姜文,https://movie.douban.com/subject/1291875/
重庆森林,8.7,1994,王家卫,https://movie.douban.com/subject/1291999/
第六感,8.8,1999,M·奈特·沙马兰,https://movie.douban.com/subject/1297630/
狩猎,9.1,2012,托马斯·温特伯格,https://movie.douban.com/subject/6985810/
喜剧之王,8.7,1999,周星驰,https://movie.douban.com/subject/1302425/
玛丽和马克思,8.9,2009,亚当·艾略特,https://movie.douban.com/subject/3072124/
我不是药神,9.0,2018,文牧野,https://movie.douban.com/subject/26752088/
消失的爱人,8.7,2014,大卫·芬奇,https://movie.douban.com/subject/21318488/
告白,8.7,2010,中岛哲也,https://movie.douban.com/subject/4268598/
小森林 夏秋篇,9.0,2014,森淳一,https://movie.douban.com/subject/25814705/
大鱼,8.8,2003,蒂姆·波顿,https://movie.douban.com/subject/1291545/
一一,9.0,2000,杨德昌,https://movie.douban.com/subject/1292434/
请以你的名字呼唤我,8.8,2017,卢卡·瓜达尼诺,https://movie.douban.com/subject/26799731/
阳光姐妹淘,8.8,2011,姜炯哲,https://movie.douban.com/subject/4917726/
爱在黎明破晓前,8.8,1995,理查德·林克莱特,https://movie.douban.com/subject/1296339/
射雕英雄传之东成西就,8.7,1993,刘镇伟,https://movie.douban.com/subject/1316510/
侧耳倾听,8.9,1995,近藤喜文,https://movie.douban.com/subject/1297052/
甜蜜蜜,8.8,1996,陈可辛,https://movie.douban.com/subject/1305164/
红辣椒,9.0,2006,今敏,https://movie.douban.com/subject/1865703/
海蒂和爷爷,9.1,2015,阿兰·葛斯彭纳,https://movie.douban.com/subject/25958717/
驯龙高手,8.7,2010,迪恩·德布洛斯,https://movie.douban.com/subject/2353023/
杀人回忆,8.8,2003,奉俊昊,https://movie.douban.com/subject/1300299/
倩女幽魂,8.7,1987,程小东,https://movie.douban.com/subject/1297447/
超脱,8.8,2011,托尼·凯耶,https://movie.douban.com/subject/5322596/
7号房的礼物,8.8,2013,李焕庆,https://movie.douban.com/subject/10777687/
恐怖直播,8.8,2013,金秉祐,https://movie.douban.com/subject/21360417/
菊次郎的夏天,8.8,1999,北野武,https://movie.douban.com/subject/1293359/
哈利·波特与死亡圣器(下),8.7,2011,大卫·叶茨,https://movie.douban.com/subject/3011235/
小森林 冬春篇,9.0,2015,森淳一,https://movie.douban.com/subject/25814707/
爱在日落黄昏时,8.8,2004,理查德·林克莱特,https://movie.douban.com/subject/1291990/
风之谷,8.8,1984,宫崎骏,https://movie.douban.com/subject/1291585/
幸福终点站,8.7,2004,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1292274/
蝙蝠侠：黑暗骑士崛起,8.7,2012,克里斯托弗·诺兰,https://movie.douban.com/subject/3395373/
萤火之森,8.8,2011,大森贵弘,https://movie.douban.com/subject/5989818/
上帝之城,8.9,2002,费尔南多·梅里尔斯,https://movie.douban.com/subject/1292208/
唐伯虎点秋香,8.6,1993,李力持,https://movie.douban.com/subject/1306249/
借东西的小人阿莉埃蒂,8.8,2010,米林宏昌,https://movie.douban.com/subject/4202302/
超能陆战队,8.6,2014,唐·霍尔,https://movie.douban.com/subject/11026735/
神偷奶爸,8.6,2010,皮埃尔·柯芬,https://movie.douban.com/subject/3287562/
无人知晓,9.1,2004,是枝裕和,https://movie.douban.com/subject/1292337/
怪兽电力公司,8.7,2001,彼特·道格特,https://movie.douban.com/subject/1291579/
电锯惊魂,8.7,2004,温子仁,https://movie.douban.com/subject/1417598/
玩具总动员3,8.8,2010,李·昂克里奇,https://movie.douban.com/subject/1858711/
岁月神偷,8.7,2010,罗启锐,https://movie.douban.com/subject/3792799/
血战钢锯岭,8.7,2016,梅尔·吉布森,https://movie.douban.com/subject/26325320/
谍影重重3,8.8,2007,保罗·格林格拉斯,https://movie.douban.com/subject/1578507/
疯狂原始人,8.7,2013,柯克·德·米科,https://movie.douban.com/subject/1907966/
英雄本色,8.7,1986,吴宇森,https://movie.douban.com/subject/1297574/
喜宴,8.9,1993,李安,https://movie.douban.com/subject/1303037/
七武士,9.2,1954,黑泽明,https://movie.douban.com/subject/1295399/
萤火虫之墓,8.7,1988,高畑勋,https://movie.douban.com/subject/1293318/
东邪西毒,8.6,1994,王家卫,https://movie.douban.com/subject/1292328/
傲慢与偏见,8.6,2005,乔·赖特,https://movie.douban.com/subject/1418200/
